node_id,node_type,label,x,y,max_similarity
reference__4C56-ASU0-VH_H-VL_G-Ag_E_I_K,reference_antigen,4C56-ASU0-VH_H-VL_G-Ag_E_I_K,10.177661,2.676358,1.00000
reference__4DK3-ASU0-VHH_A-Ag_C_D,reference_antigen,4DK3-ASU0-VHH_A-Ag_C_D,6.989613,4.385588,1.00000
reference__4DK6-ASU0-VHH_B-Ag_C_D,reference_antigen,4DK6-ASU0-VHH_B-Ag_C_D,6.809936,3.993483,1.00000
reference__4DKF-ASU0-VH_H-VL_L-Ag_A_B,reference_antigen,4DKF-ASU0-VH_H-VL_L-Ag_A_B,8.486841,7.181387,1.00000
reference__4DKF-ASU0-VH_I-VL_M-Ag_A_B,reference_antigen,4DKF-ASU0-VH_I-VL_M-Ag_A_B,8.430574,7.059247,1.00000
reference__4KRM-ASU0-VHH_D-Ag_C_E,reference_antigen,4KRM-ASU0-VHH_D-Ag_C_E,5.196460,1.296016,1.00000
reference__4KRM-ASU0-VHH_L-Ag_I_K,reference_antigen,4KRM-ASU0-VHH_L-Ag_I_K,5.317494,1.318231,1.00000
reference__4MAY-ASU0-VH_D-VL_C-Ag_A_B,reference_antigen,4MAY-ASU0-VH_D-VL_C-Ag_A_B,10.545949,2.429283,1.00000
reference__4PLK-ASU0-VH_D-VL_C-Ag_A_B,reference_antigen,4PLK-ASU0-VH_D-VL_C-Ag_A_B,7.529972,3.756031,1.00000
reference__4PLK-ASU0-VH_H-VL_L-Ag_A_B,reference_antigen,4PLK-ASU0-VH_H-VL_L-Ag_A_B,7.415999,3.630369,1.00000
reference__4XVU-ASU0-VH_I-VL_J-Ag_G_H,reference_antigen,4XVU-ASU0-VH_I-VL_J-Ag_G_H,6.859889,-0.422264,1.00000
reference__4XVU-ASU0-VH_K-VL_L-Ag_G_H,reference_antigen,4XVU-ASU0-VH_K-VL_L-Ag_G_H,6.671600,-0.553336,1.00000
reference__5BOP-ASU0-VHH_A-Ag_B_D,reference_antigen,5BOP-ASU0-VHH_A-Ag_B_D,5.634729,0.143700,1.00000
reference__5BOP-ASU0-VHH_C-Ag_B_D,reference_antigen,5BOP-ASU0-VHH_C-Ag_B_D,5.842147,-0.170354,1.00000
reference__5OCL-ASU0-VHH_G-Ag_F_H,reference_antigen,5OCL-ASU0-VHH_G-Ag_F_H,11.470291,3.588695,1.00000
reference__5OVW-ASU0-VHH_G-Ag_A_C,reference_antigen,5OVW-ASU0-VHH_G-Ag_A_C,7.798740,0.057663,1.00000
reference__5OVW-ASU0-VHH_J-Ag_B_D,reference_antigen,5OVW-ASU0-VHH_J-Ag_B_D,7.694970,0.357728,1.00000
reference__5TD8-ASU0-VHH_E-Ag_A_C,reference_antigen,5TD8-ASU0-VHH_E-Ag_A_C,9.279846,7.062077,1.00000
reference__5UDD-ASU0-VH_J-VL_P-Ag_A_E,reference_antigen,5UDD-ASU0-VH_J-VL_P-Ag_A_E,9.079434,4.832605,1.00000
reference__6BPE-ASU0-VH_B-VL_C-Ag_A_D,reference_antigen,6BPE-ASU0-VH_B-VL_C-Ag_A_D,10.618761,6.645240,1.00000
reference__6DO1-ASU0-VHH_E-Ag_A_B_C,reference_antigen,6DO1-ASU0-VHH_E-Ag_A_B_C,10.756607,4.572416,1.00000
reference__6GKD-ASU0-VHH_G-Ag_F_T,reference_antigen,6GKD-ASU0-VHH_G-Ag_F_T,11.553089,3.891634,1.00000
reference__6GKD-ASU0-VHH_H-Ag_F_I_M,reference_antigen,6GKD-ASU0-VHH_H-Ag_F_I_M,11.359461,4.377708,1.00000
reference__6GKD-ASU0-VHH_T-Ag_F_P_R,reference_antigen,6GKD-ASU0-VHH_T-Ag_F_P_R,11.178055,4.161563,1.00000
reference__6OAO-ASU0-VH_J-VL_J-Ag_I_K,reference_antigen,6OAO-ASU0-VH_J-VL_J-Ag_I_K,9.566015,3.710806,1.00000
reference__6OL7-ASU0-VH_C-VL_B-Ag_D_E,reference_antigen,6OL7-ASU0-VH_C-VL_B-Ag_D_E,12.067039,2.958119,1.00000
reference__6OL7-ASU0-VH_K-VL_J-Ag_F_I,reference_antigen,6OL7-ASU0-VH_K-VL_J-Ag_F_I,11.888674,3.372529,1.00000
reference__6SGE-ASU0-VHH_B-Ag_A_C,reference_antigen,6SGE-ASU0-VHH_B-Ag_A_C,7.220078,-0.194231,1.00000
reference__6SGE-ASU0-VHH_D-Ag_A_C,reference_antigen,6SGE-ASU0-VHH_D-Ag_A_C,6.971210,0.052491,1.00000
reference__6TYL-ASU0-VHH_D-Ag_A_F,reference_antigen,6TYL-ASU0-VHH_D-Ag_A_F,8.426777,2.516164,1.00000
reference__6TYL-ASU0-VHH_I-Ag_A_F,reference_antigen,6TYL-ASU0-VHH_I-Ag_A_F,8.348649,2.701761,1.00000
reference__6V7Z-ASU0-VHH_F-Ag_A_B_C,reference_antigen,6V7Z-ASU0-VHH_F-Ag_A_B_C,10.404895,2.908540,1.00000
reference__6X04-ASU0-VHH_F-Ag_B_E_K,reference_antigen,6X04-ASU0-VHH_F-Ag_B_E_K,10.851378,4.202384,1.00000
reference__6X04-ASU0-VHH_L-Ag_E_H_K,reference_antigen,6X04-ASU0-VHH_L-Ag_E_H_K,11.113243,4.659730,1.00000
reference__7E9G-ASU0-VHH_E-Ag_R_S,reference_antigen,7E9G-ASU0-VHH_E-Ag_R_S,9.376726,5.444934,1.00000
reference__7EO4-ASU0-VH_E-VL_E-Ag_B_C,reference_antigen,7EO4-ASU0-VH_E-VL_E-Ag_B_C,7.744905,-0.325939,1.00000
reference__7F1O-ASU0-VHH_E-Ag_A_B,reference_antigen,7F1O-ASU0-VHH_E-Ag_A_B,8.537353,-0.372780,1.00000
reference__7K7H-ASU0-VH_H-VL_L-Ag_A_C,reference_antigen,7K7H-ASU0-VH_H-VL_L-Ag_A_C,7.306420,5.103228,1.00000
reference__7K7I-ASU0-VH_J-VL_K-Ag_B_E,reference_antigen,7K7I-ASU0-VH_J-VL_K-Ag_B_E,7.404277,5.041635,1.00000
reference__7K7I-ASU0-VH_M-VL_N-Ag_A_C,reference_antigen,7K7I-ASU0-VH_M-VL_N-Ag_A_C,7.580308,5.017009,1.00000
reference__7K7I-ASU0-VH_P-VL_Q-Ag_C_D,reference_antigen,7K7I-ASU0-VH_P-VL_Q-Ag_C_D,7.507584,5.273776,1.00000
reference__7KI1-ASU0-VHH_N-Ag_A_B,reference_antigen,7KI1-ASU0-VHH_N-Ag_A_B,8.406308,-0.203255,1.00000
reference__7KQY-ASU0-VHH_A-Ag_B_D,reference_antigen,7KQY-ASU0-VHH_A-Ag_B_D,11.977938,3.456321,1.00000
reference__7LJB-ASU0-VH_E-VL_D-Ag_A_B,reference_antigen,7LJB-ASU0-VH_E-VL_D-Ag_A_B,9.803313,7.616391,1.00000
reference__7LJB-ASU0-VH_G-VL_F-Ag_A_B,reference_antigen,7LJB-ASU0-VH_G-VL_F-Ag_A_B,10.090528,7.553093,1.00000
reference__7M7E-ASU0-VH_C-VL_D-Ag_A_B,reference_antigen,7M7E-ASU0-VH_C-VL_D-Ag_A_B,12.713868,2.248213,1.00000
reference__7M7G-ASU0-VH_C-VL_D-Ag_A_B_E_F,reference_antigen,7M7G-ASU0-VH_C-VL_D-Ag_A_B_E_F,12.702828,2.882348,1.00000
reference__7N0I-ASU0-VHH_J-Ag_C_D,reference_antigen,7N0I-ASU0-VHH_J-Ag_C_D,8.702579,5.622136,1.00000
reference__7QHA-ASU0-VHH_C-Ag_A_B,reference_antigen,7QHA-ASU0-VHH_C-Ag_A_B,9.795566,7.280321,1.00000
reference__7SAJ-ASU0-VHH_J-Ag_E_I,reference_antigen,7SAJ-ASU0-VHH_J-Ag_E_I,11.971736,4.583799,1.00000
reference__7T0W-ASU0-VH_G-VL_F-Ag_A_B,reference_antigen,7T0W-ASU0-VH_G-VL_F-Ag_A_B,9.879588,5.583053,1.00000
reference__7T0Z-ASU0-VH_H-VL_L-Ag_D_E,reference_antigen,7T0Z-ASU0-VH_H-VL_L-Ag_D_E,9.726341,5.949928,1.00000
reference__7WU9-ASU0-VH_S-VL_S-Ag_A_B,reference_antigen,7WU9-ASU0-VH_S-VL_S-Ag_A_B,8.312077,-0.287581,1.00000
reference__8CAF-ASU0-VH_B-VL_A-Ag_F_H,reference_antigen,8CAF-ASU0-VH_B-VL_A-Ag_F_H,9.037352,3.361844,1.00000
reference__8CAF-ASU0-VH_D-VL_C-Ag_E_G,reference_antigen,8CAF-ASU0-VH_D-VL_C-Ag_E_G,9.137424,3.743970,1.00000
reference__8DJK-ASU0-VH_H-VL_L-Ag_A_B,reference_antigen,8DJK-ASU0-VH_H-VL_L-Ag_A_B,9.842158,6.230282,1.00000
reference__8DJM-ASU0-VH_H-VL_L-Ag_A_B,reference_antigen,8DJM-ASU0-VH_H-VL_L-Ag_A_B,9.972780,6.656908,1.00000
reference__8G2Y-ASU0-VHH_N-Ag_A_B,reference_antigen,8G2Y-ASU0-VHH_N-Ag_A_B,8.395123,-0.784773,1.00000
reference__8H64-ASU0-VHH_D-Ag_C_E,reference_antigen,8H64-ASU0-VHH_D-Ag_C_E,5.421788,1.887777,1.00000
reference__8H64-ASU0-VHH_H-Ag_A_G,reference_antigen,8H64-ASU0-VHH_H-Ag_A_G,5.631413,1.915197,1.00000
reference__8I7W-ASU0-VH_E-VL_E-Ag_B_C,reference_antigen,8I7W-ASU0-VH_E-VL_E-Ag_B_C,7.964212,-0.404195,1.00000
reference__8IM1-ASU0-VHH_H-Ag_C_G,reference_antigen,8IM1-ASU0-VHH_H-Ag_C_G,12.123318,4.352762,1.00000
reference__8J7U-ASU0-VH_E-VL_C-Ag_A_B,reference_antigen,8J7U-ASU0-VH_E-VL_C-Ag_A_B,8.991395,7.990661,1.00000
reference__8J7U-ASU0-VH_F-VL_D-Ag_A_B,reference_antigen,8J7U-ASU0-VH_F-VL_D-Ag_A_B,9.090434,7.922907,1.00000
reference__8J7V-ASU0-VH_E-VL_C-Ag_A_B,reference_antigen,8J7V-ASU0-VH_E-VL_C-Ag_A_B,8.720980,7.832711,1.00000
reference__8J7V-ASU0-VH_F-VL_D-Ag_A_B,reference_antigen,8J7V-ASU0-VH_F-VL_D-Ag_A_B,8.587184,7.691096,1.00000
reference__8J7W-ASU0-VH_E-VL_C-Ag_A_B,reference_antigen,8J7W-ASU0-VH_E-VL_C-Ag_A_B,8.349821,7.498221,1.00000
reference__8J7W-ASU0-VH_F-VL_D-Ag_A_B,reference_antigen,8J7W-ASU0-VH_F-VL_D-Ag_A_B,8.685440,7.429459,1.00000
reference__8J80-ASU0-VH_E-VL_C-Ag_A_B,reference_antigen,8J80-ASU0-VH_E-VL_C-Ag_A_B,8.466290,7.927094,1.00000
reference__8OQ3-ASU0-VHH_C-Ag_A_D,reference_antigen,8OQ3-ASU0-VHH_C-Ag_A_D,10.742342,3.476754,1.00000
reference__8PMX-ASU0-VH_H-VL_L-Ag_A_B,reference_antigen,8PMX-ASU0-VH_H-VL_L-Ag_A_B,7.325539,3.565102,1.00000
reference__8RTF-ASU0-VHH_G-Ag_A_B,reference_antigen,8RTF-ASU0-VHH_G-Ag_A_B,4.614267,-0.780357,1.00000
reference__8RTF-ASU0-VHH_I-Ag_C_D,reference_antigen,8RTF-ASU0-VHH_I-Ag_C_D,4.121505,-1.254503,1.00000
reference__8RTF-ASU0-VHH_J-Ag_C_D,reference_antigen,8RTF-ASU0-VHH_J-Ag_C_D,4.101220,-0.600009,1.00000
reference__8RTF-ASU2-VHH_G-Ag_A_F,reference_antigen,8RTF-ASU2-VHH_G-Ag_A_F,4.682870,-0.778083,1.00000
reference__8RTF-ASU2-VHH_K-Ag_C_E,reference_antigen,8RTF-ASU2-VHH_K-Ag_C_E,4.561601,-0.658506,1.00000
reference__8RVR-ASU0-VHH_G-Ag_A_B,reference_antigen,8RVR-ASU0-VHH_G-Ag_A_B,4.233478,-0.990257,1.00000
reference__8RVR-ASU0-VHH_H-Ag_A_B,reference_antigen,8RVR-ASU0-VHH_H-Ag_A_B,4.362760,-1.096923,1.00000
reference__8RVR-ASU0-VHH_I-Ag_C_D,reference_antigen,8RVR-ASU0-VHH_I-Ag_C_D,4.160339,-0.695763,1.00000
reference__8RVR-ASU0-VHH_J-Ag_C_D,reference_antigen,8RVR-ASU0-VHH_J-Ag_C_D,4.309920,-0.400658,1.00000
reference__8SFZ-ASU0-VHH_B-Ag_D_F,reference_antigen,8SFZ-ASU0-VHH_B-Ag_D_F,12.083773,4.320729,1.00000
reference__8TEA-ASU0-VH_F-VL_I-Ag_C_D,reference_antigen,8TEA-ASU0-VH_F-VL_I-Ag_C_D,8.098005,4.677768,1.00000
reference__8TJN-ASU0-VH_C-VL_D-Ag_A_B_E_F,reference_antigen,8TJN-ASU0-VH_C-VL_D-Ag_A_B_E_F,12.480826,2.167270,1.00000
reference__8TJN-ASU0-VH_E-VL_F-Ag_A_B_C_D,reference_antigen,8TJN-ASU0-VH_E-VL_F-Ag_A_B_C_D,12.864098,2.401407,1.00000
reference__8TME-ASU0-VH_H-VL_L-Ag_A_B,reference_antigen,8TME-ASU0-VH_H-VL_L-Ag_A_B,8.260775,6.125231,1.00000
reference__8TMH-ASU0-VH_F-VL_G-Ag_A_B,reference_antigen,8TMH-ASU0-VH_F-VL_G-Ag_A_B,8.444363,6.060484,1.00000
reference__8TMQ-ASU0-VH_H-VL_L-Ag_A_B,reference_antigen,8TMQ-ASU0-VH_H-VL_L-Ag_A_B,8.545620,5.763767,1.00000
reference__8UIO-ASU0-VH_H-VL_L-Ag_A_B,reference_antigen,8UIO-ASU0-VH_H-VL_L-Ag_A_B,11.651354,3.564952,1.00000
reference__8W5F-ASU0-VH_H-VL_L-Ag_C_c,reference_antigen,8W5F-ASU0-VH_H-VL_L-Ag_C_c,9.927732,4.441499,1.00000
reference__8Y62-ASU0-VH_E-VL_E-Ag_A_B,reference_antigen,8Y62-ASU0-VH_E-VL_E-Ag_A_B,8.269047,-0.585511,1.00000
reference__8YJ7-ASU0-VH_E-VL_E-Ag_B_C,reference_antigen,8YJ7-ASU0-VH_E-VL_E-Ag_B_C,7.565642,0.336836,1.00000
reference__8ZBI-ASU0-VH_F-VL_F-Ag_B_C,reference_antigen,8ZBI-ASU0-VH_F-VL_F-Ag_B_C,7.947220,-0.696065,1.00000
reference__8ZRE-ASU0-VH_h-VL_l-Ag_A_B,reference_antigen,8ZRE-ASU0-VH_h-VL_l-Ag_A_B,8.771979,6.734291,1.00000
reference__9BIF-ASU0-VH_G-VL_I-Ag_E_F,reference_antigen,9BIF-ASU0-VH_G-VL_I-Ag_E_F,10.188480,6.691006,1.00000
reference__9BIF-ASU0-VH_J-VL_K-Ag_E_F,reference_antigen,9BIF-ASU0-VH_J-VL_K-Ag_E_F,10.466290,6.543829,1.00000
reference__9C24-ASU0-VH_A-VL_B-Ag_C_D,reference_antigen,9C24-ASU0-VH_A-VL_B-Ag_C_D,10.178638,6.990592,1.00000
reference__9C24-ASU0-VH_H-VL_L-Ag_C_D,reference_antigen,9C24-ASU0-VH_H-VL_L-Ag_C_D,10.217204,7.237246,1.00000
reference__9E3L-ASU0-VH_G-VL_H-Ag_E_F,reference_antigen,9E3L-ASU0-VH_G-VL_H-Ag_E_F,7.512337,4.732044,1.00000
reference__9E7L-ASU0-VHH_S-Ag_G_T,reference_antigen,9E7L-ASU0-VHH_S-Ag_G_T,11.157194,5.047552,1.00000
reference__9G4E-ASU0-VH_C-VL_D-Ag_A_B,reference_antigen,9G4E-ASU0-VH_C-VL_D-Ag_A_B,9.377784,7.719282,1.00000
reference__9I5E-ASU0-VHH_N-Ag_A_B,reference_antigen,9I5E-ASU0-VHH_N-Ag_A_B,6.668063,0.179067,1.00000
reference__9JKS-ASU0-VH_S-VL_S-Ag_B_C,reference_antigen,9JKS-ASU0-VH_S-VL_S-Ag_B_C,8.495246,-0.548270,1.00000
reference__9MGB-ASU0-VH_k-VL_k-Ag_J_L,reference_antigen,9MGB-ASU0-VH_k-VL_k-Ag_J_L,8.210734,6.573133,1.00000
reference__9PC6-ASU0-VH_J-VL_I-Ag_A_B_K_L,reference_antigen,9PC6-ASU0-VH_J-VL_I-Ag_A_B_K_L,12.349045,2.374804,1.00000
reference__9PXU-ASU0-VHH_K-Ag_H_L,reference_antigen,9PXU-ASU0-VHH_K-Ag_H_L,12.469482,2.586639,1.00000
