target,chosen_query_structure,best_hit,best_hit_antigen_name,best_hit_structure_identifier,tm_score,rank,notes
glutamate-ammonia ligase,2OJW,8SFZ-ASU0-VHH_B-Ag_D_F,,8SFZ-ASU0-VHH_B-Ag_D_F,0.07686,5,Parsed from SNAC-DB Foldseek report.
glutaminyl-tRNA synthetase,4R3Z,9MGB-ASU0-VH_k-VL_k-Ag_J_L,,9MGB-ASU0-VH_k-VL_k-Ag_J_L,0.12751,1,Parsed from SNAC-DB Foldseek report.
glutaminyl-tRNA synthetase,4R3Z,4XVU-ASU0-VH_I-VL_J-Ag_G_H,,4XVU-ASU0-VH_I-VL_J-Ag_G_H,0.12483,2,Parsed from SNAC-DB Foldseek report.
glutaminyl-tRNA synthetase,4R3Z,4XVU-ASU0-VH_K-VL_L-Ag_G_H,,4XVU-ASU0-VH_K-VL_L-Ag_G_H,0.12483,3,Parsed from SNAC-DB Foldseek report.
glutaminyl-tRNA synthetase,4R3Z,9E7L-ASU0-VHH_S-Ag_G_T,,9E7L-ASU0-VHH_S-Ag_G_T,0.11675,4,Parsed from SNAC-DB Foldseek report.
glutaminyl-tRNA synthetase,4R3Z,7KI1-ASU0-VHH_N-Ag_A_B,,7KI1-ASU0-VHH_N-Ag_A_B,0.11531,5,Parsed from SNAC-DB Foldseek report.
hydroxymethylbilane synthase,3ECR,8TME-ASU0-VH_H-VL_L-Ag_A_B,,8TME-ASU0-VH_H-VL_L-Ag_A_B,0.08472,1,Parsed from SNAC-DB Foldseek report.
hydroxymethylbilane synthase,3ECR,4MAY-ASU0-VH_D-VL_C-Ag_A_B,,4MAY-ASU0-VH_D-VL_C-Ag_A_B,0.08417,2,Parsed from SNAC-DB Foldseek report.
hydroxymethylbilane synthase,3ECR,7M7E-ASU0-VH_C-VL_D-Ag_A_B,,7M7E-ASU0-VH_C-VL_D-Ag_A_B,0.08136,3,Parsed from SNAC-DB Foldseek report.
hydroxymethylbilane synthase,3ECR,7M7G-ASU0-VH_C-VL_D-Ag_A_B_E_F,,7M7G-ASU0-VH_C-VL_D-Ag_A_B_E_F,0.06175,4,Parsed from SNAC-DB Foldseek report.
hydroxymethylbilane synthase,3ECR,6V7Z-ASU0-VHH_F-Ag_A_B_C,,6V7Z-ASU0-VHH_F-Ag_A_B_C,0.05937,5,Parsed from SNAC-DB Foldseek report.
leucyl-tRNA synthetase,2WFD,6OL7-ASU0-VH_C-VL_B-Ag_D_E,,6OL7-ASU0-VH_C-VL_B-Ag_D_E,0.10798,1,Parsed from SNAC-DB Foldseek report.
leucyl-tRNA synthetase,2WFD,7KQY-ASU0-VHH_A-Ag_B_D,,7KQY-ASU0-VHH_A-Ag_B_D,0.10243,2,Parsed from SNAC-DB Foldseek report.
leucyl-tRNA synthetase,2WFD,3LRS-ASU0-VH_E-VL_F-Ag_A_B_C_D,,3LRS-ASU0-VH_E-VL_F-Ag_A_B_C_D,0.08479,3,Parsed from SNAC-DB Foldseek report.
leucyl-tRNA synthetase,2WFD,7F1O-ASU0-VHH_E-Ag_A_B,,7F1O-ASU0-VHH_E-Ag_A_B,0.0828,4,Parsed from SNAC-DB Foldseek report.
leucyl-tRNA synthetase,2WFD,2OTU-ASU0-VH_D-VL_C-Ag_G_H_Q,,2OTU-ASU0-VH_D-VL_C-Ag_G_H_Q,0.08207,5,Parsed from SNAC-DB Foldseek report.
lysyl-tRNA synthetase,3BJU,4DK6-ASU0-VHH_B-Ag_C_D,,4DK6-ASU0-VHH_B-Ag_C_D,0.32942,1,Parsed from SNAC-DB Foldseek report.
lysyl-tRNA synthetase,3BJU,4DK3-ASU0-VHH_A-Ag_C_D,,4DK3-ASU0-VHH_A-Ag_C_D,0.30698,2,Parsed from SNAC-DB Foldseek report.
lysyl-tRNA synthetase,3BJU,3STB-ASU0-VHH_A-Ag_C_D,,3STB-ASU0-VHH_A-Ag_C_D,0.28424,3,Parsed from SNAC-DB Foldseek report.
lysyl-tRNA synthetase,3BJU,3STB-ASU0-VHH_B-Ag_C_D,,3STB-ASU0-VHH_B-Ag_C_D,0.28424,4,Parsed from SNAC-DB Foldseek report.
lysyl-tRNA synthetase,3BJU,7K7H-ASU0-VH_H-VL_L-Ag_A_C,,7K7H-ASU0-VH_H-VL_L-Ag_A_C,0.2441,5,Parsed from SNAC-DB Foldseek report.
mevalonate (diphospho) decarboxylase,3D4J,5UDD-ASU0-VH_J-VL_P-Ag_A_E,,5UDD-ASU0-VH_J-VL_P-Ag_A_E,0.07685,1,Parsed from SNAC-DB Foldseek report.
mevalonate (diphospho) decarboxylase,3D4J,1CT8-ASU0-VH_B-VL_A-Ag_C_D,,1CT8-ASU0-VH_B-VL_A-Ag_C_D,0.04958,2,Parsed from SNAC-DB Foldseek report.
mevalonate (diphospho) decarboxylase,3D4J,1MWA-ASU0-VH_B-VL_A-Ag_H_I_P,,1MWA-ASU0-VH_B-VL_A-Ag_H_I_P,0.04716,3,Parsed from SNAC-DB Foldseek report.
mevalonate (diphospho) decarboxylase,3D4J,7T0Z-ASU0-VH_H-VL_L-Ag_D_E,,7T0Z-ASU0-VH_H-VL_L-Ag_D_E,0.04124,4,Parsed from SNAC-DB Foldseek report.
mevalonate (diphospho) decarboxylase,3D4J,7T0W-ASU0-VH_G-VL_F-Ag_A_B,,7T0W-ASU0-VH_G-VL_F-Ag_A_B,0.0403,5,Parsed from SNAC-DB Foldseek report.
mevalonate kinase,2R3V,4PLK-ASU0-VH_D-VL_C-Ag_A_B,,4PLK-ASU0-VH_D-VL_C-Ag_A_B,0.08082,1,Parsed from SNAC-DB Foldseek report.
mevalonate kinase,2R3V,4PLK-ASU0-VH_H-VL_L-Ag_A_B,,4PLK-ASU0-VH_H-VL_L-Ag_A_B,0.08082,2,Parsed from SNAC-DB Foldseek report.
mevalonate kinase,2R3V,8PMX-ASU0-VH_H-VL_L-Ag_A_B,,8PMX-ASU0-VH_H-VL_L-Ag_A_B,0.08064,3,Parsed from SNAC-DB Foldseek report.
mevalonate kinase,2R3V,8J7W-ASU0-VH_E-VL_C-Ag_A_B,,8J7W-ASU0-VH_E-VL_C-Ag_A_B,0.07284,4,Parsed from SNAC-DB Foldseek report.
mevalonate kinase,2R3V,8J7W-ASU0-VH_F-VL_D-Ag_A_B,,8J7W-ASU0-VH_F-VL_D-Ag_A_B,0.07284,5,Parsed from SNAC-DB Foldseek report.
"peptidylprolyl cis/trans isomerase, NIMA-interacting 1",1F8A,2IAM-ASU0-VH_D-VL_C-Ag_A_B_P,,2IAM-ASU0-VH_D-VL_C-Ag_A_B_P,0.10311,1,Parsed from SNAC-DB Foldseek report.
"peptidylprolyl cis/trans isomerase, NIMA-interacting 1",1F8A,6X04-ASU0-VHH_F-Ag_B_E_K,,6X04-ASU0-VHH_F-Ag_B_E_K,0.09029,2,Parsed from SNAC-DB Foldseek report.
"peptidylprolyl cis/trans isomerase, NIMA-interacting 1",1F8A,6X04-ASU0-VHH_L-Ag_E_H_K,,6X04-ASU0-VHH_L-Ag_E_H_K,0.06978,3,Parsed from SNAC-DB Foldseek report.
phosphopantothenoylcysteine synthetase,1P9O,6SGE-ASU0-VHH_B-Ag_A_C,,6SGE-ASU0-VHH_B-Ag_A_C,0.24106,1,Parsed from SNAC-DB Foldseek report.
phosphopantothenoylcysteine synthetase,1P9O,6SGE-ASU0-VHH_D-Ag_A_C,,6SGE-ASU0-VHH_D-Ag_A_C,0.24106,2,Parsed from SNAC-DB Foldseek report.
phosphopantothenoylcysteine synthetase,1P9O,7N0I-ASU0-VHH_J-Ag_C_D,,7N0I-ASU0-VHH_J-Ag_C_D,0.22207,3,Parsed from SNAC-DB Foldseek report.
phosphopantothenoylcysteine synthetase,1P9O,5OVW-ASU0-VHH_J-Ag_B_D,,5OVW-ASU0-VHH_J-Ag_B_D,0.14741,4,Parsed from SNAC-DB Foldseek report.
phosphopantothenoylcysteine synthetase,1P9O,5OVW-ASU0-VHH_G-Ag_A_C,,5OVW-ASU0-VHH_G-Ag_A_C,0.13583,5,Parsed from SNAC-DB Foldseek report.
"protein phosphatase 1, regulatory subunit 7",6HKW,8H64-ASU0-VHH_D-Ag_C_E,,8H64-ASU0-VHH_D-Ag_C_E,0.27775,1,Parsed from SNAC-DB Foldseek report.
"protein phosphatase 1, regulatory subunit 7",6HKW,8H64-ASU0-VHH_H-Ag_A_G,,8H64-ASU0-VHH_H-Ag_A_G,0.26535,2,Parsed from SNAC-DB Foldseek report.
"protein phosphatase 1, regulatory subunit 7",6HKW,4KRM-ASU0-VHH_L-Ag_I_K,,4KRM-ASU0-VHH_L-Ag_I_K,0.14742,3,Parsed from SNAC-DB Foldseek report.
"protein phosphatase 1, regulatory subunit 7",6HKW,4KRM-ASU0-VHH_D-Ag_C_E,,4KRM-ASU0-VHH_D-Ag_C_E,0.13542,4,Parsed from SNAC-DB Foldseek report.
"protein phosphatase 1, regulatory subunit 7",6HKW,3H3B-ASU0-VH_D-VL_D-Ag_A_B,,3H3B-ASU0-VH_D-VL_D-Ag_A_B,0.13011,5,Parsed from SNAC-DB Foldseek report.
"ring-box 1, E3 ubiquitin protein ligase",1LDJ,8CAF-ASU0-VH_D-VL_C-Ag_E_G,,8CAF-ASU0-VH_D-VL_C-Ag_E_G,0.52546,1,Parsed from SNAC-DB Foldseek report.
"ring-box 1, E3 ubiquitin protein ligase",1LDJ,6TYL-ASU0-VHH_D-Ag_A_F,,6TYL-ASU0-VHH_D-Ag_A_F,0.09804,2,Parsed from SNAC-DB Foldseek report.
"ring-box 1, E3 ubiquitin protein ligase",1LDJ,6TYL-ASU0-VHH_I-Ag_A_F,,6TYL-ASU0-VHH_I-Ag_A_F,0.09804,3,Parsed from SNAC-DB Foldseek report.
"ring-box 1, E3 ubiquitin protein ligase",1LDJ,8J7U-ASU0-VH_E-VL_C-Ag_A_B,,8J7U-ASU0-VH_E-VL_C-Ag_A_B,0.09703,4,Parsed from SNAC-DB Foldseek report.
"ring-box 1, E3 ubiquitin protein ligase",1LDJ,8J7U-ASU0-VH_F-VL_D-Ag_A_B,,8J7U-ASU0-VH_F-VL_D-Ag_A_B,0.09703,5,Parsed from SNAC-DB Foldseek report.
seryl-tRNA synthetase,3VBB,6BPE-ASU0-VH_B-VL_C-Ag_A_D,,6BPE-ASU0-VH_B-VL_C-Ag_A_D,0.10968,1,Parsed from SNAC-DB Foldseek report.
seryl-tRNA synthetase,3VBB,8W5F-ASU0-VH_H-VL_L-Ag_C_c,,8W5F-ASU0-VH_H-VL_L-Ag_C_c,0.10278,2,Parsed from SNAC-DB Foldseek report.
seryl-tRNA synthetase,3VBB,9C24-ASU0-VH_A-VL_B-Ag_C_D,,9C24-ASU0-VH_A-VL_B-Ag_C_D,0.09909,3,Parsed from SNAC-DB Foldseek report.
seryl-tRNA synthetase,3VBB,9C24-ASU0-VH_H-VL_L-Ag_C_D,,9C24-ASU0-VH_H-VL_L-Ag_C_D,0.09909,4,Parsed from SNAC-DB Foldseek report.
seryl-tRNA synthetase,3VBB,9G4E-ASU0-VH_C-VL_D-Ag_A_B,,9G4E-ASU0-VH_C-VL_D-Ag_A_B,0.08405,5,Parsed from SNAC-DB Foldseek report.
superkiller viralicidic activity 2-like 2 (S. cerevisiae),6C90,8RTF-ASU2-VHH_G-Ag_A_F,,8RTF-ASU2-VHH_G-Ag_A_F,0.12441,1,Parsed from SNAC-DB Foldseek report.
superkiller viralicidic activity 2-like 2 (S. cerevisiae),6C90,8RTF-ASU2-VHH_K-Ag_C_E,,8RTF-ASU2-VHH_K-Ag_C_E,0.12441,2,Parsed from SNAC-DB Foldseek report.
"tRNA nucleotidyl transferase, CCA-adding, 1",1OU5,8TEA-ASU0-VH_F-VL_I-Ag_C_D,,8TEA-ASU0-VH_F-VL_I-Ag_C_D,0.09858,1,Parsed from SNAC-DB Foldseek report.
"tRNA nucleotidyl transferase, CCA-adding, 1",1OU5,8DJK-ASU0-VH_H-VL_L-Ag_A_B,,8DJK-ASU0-VH_H-VL_L-Ag_A_B,0.0928,2,Parsed from SNAC-DB Foldseek report.
"tRNA nucleotidyl transferase, CCA-adding, 1",1OU5,8OQ3-ASU0-VHH_C-Ag_A_D,,8OQ3-ASU0-VHH_C-Ag_A_D,0.09006,3,Parsed from SNAC-DB Foldseek report.
"tRNA nucleotidyl transferase, CCA-adding, 1",1OU5,8TMH-ASU0-VH_F-VL_G-Ag_A_B,,8TMH-ASU0-VH_F-VL_G-Ag_A_B,0.08534,4,Parsed from SNAC-DB Foldseek report.
"tRNA nucleotidyl transferase, CCA-adding, 1",1OU5,7E9G-ASU0-VHH_E-Ag_R_S,,7E9G-ASU0-VHH_E-Ag_R_S,0.0838,5,Parsed from SNAC-DB Foldseek report.
thiamin pyrophosphokinase 1,3S4Y,5BOP-ASU0-VHH_A-Ag_B_D,,5BOP-ASU0-VHH_A-Ag_B_D,0.23447,1,Parsed from SNAC-DB Foldseek report.
thiamin pyrophosphokinase 1,3S4Y,5BOP-ASU0-VHH_C-Ag_B_D,,5BOP-ASU0-VHH_C-Ag_B_D,0.23447,2,Parsed from SNAC-DB Foldseek report.
thiamin pyrophosphokinase 1,3S4Y,6SGE-ASU0-VHH_B-Ag_A_C,,6SGE-ASU0-VHH_B-Ag_A_C,0.1732,3,Parsed from SNAC-DB Foldseek report.
thiamin pyrophosphokinase 1,3S4Y,6SGE-ASU0-VHH_D-Ag_A_C,,6SGE-ASU0-VHH_D-Ag_A_C,0.1732,4,Parsed from SNAC-DB Foldseek report.
thiamin pyrophosphokinase 1,3S4Y,9PC6-ASU0-VH_J-VL_I-Ag_A_B_K_L,,9PC6-ASU0-VH_J-VL_I-Ag_A_B_K_L,0.17214,5,Parsed from SNAC-DB Foldseek report.
triosephosphate isomerase 1,1HTI,8RTF-ASU0-VHH_I-Ag_C_D,,8RTF-ASU0-VHH_I-Ag_C_D,0.28926,1,Parsed from SNAC-DB Foldseek report.
triosephosphate isomerase 1,1HTI,8RTF-ASU0-VHH_J-Ag_C_D,,8RTF-ASU0-VHH_J-Ag_C_D,0.28926,2,Parsed from SNAC-DB Foldseek report.
triosephosphate isomerase 1,1HTI,8RVR-ASU0-VHH_G-Ag_A_B,,8RVR-ASU0-VHH_G-Ag_A_B,0.27491,3,Parsed from SNAC-DB Foldseek report.
triosephosphate isomerase 1,1HTI,8RVR-ASU0-VHH_H-Ag_A_B,,8RVR-ASU0-VHH_H-Ag_A_B,0.27491,4,Parsed from SNAC-DB Foldseek report.
triosephosphate isomerase 1,1HTI,8RTF-ASU0-VHH_G-Ag_A_B,,8RTF-ASU0-VHH_G-Ag_A_B,0.27129,5,Parsed from SNAC-DB Foldseek report.
