node_id,node_type,label,query__1A4R,query__1E51,query__1F8A,query__1FB1,query__1HTI,query__1HVY,query__1LDJ,query__1OU5,query__1P9O,query__1Q5H,query__1Z5S,query__2J91,query__2OJW,query__2R3V,query__2VE7,query__2WFD,query__3BJU,query__3D4J,query__3ECR,query__3JUS,query__3R2W,query__3S4Y,query__3VBB,query__4JSN,query__4R3Z,query__6C90,query__6GWJ,query__6HKW,reference__1BVL-ASU0-VH_C-VL_D-Ag_A_B,reference__1CT8-ASU0-VH_B-VL_A-Ag_C_D,reference__1MWA-ASU0-VH_B-VL_A-Ag_H_I_P,reference__2IAM-ASU0-VH_D-VL_C-Ag_A_B_P,reference__2OTU-ASU0-VH_D-VL_C-Ag_G_H_Q,reference__3G6J-ASU0-VH_H-VL_G-Ag_C_D,reference__3H3B-ASU0-VH_D-VL_D-Ag_A_B,reference__3LRS-ASU0-VH_E-VL_F-Ag_A_B_C_D,reference__3STB-ASU0-VHH_A-Ag_C_D,reference__3STB-ASU0-VHH_B-Ag_C_D,reference__3ZHD-ASU1-VHH_F-Ag_A_B,reference__4C56-ASU0-VH_H-VL_G-Ag_E_I_K,reference__4DK3-ASU0-VHH_A-Ag_C_D,reference__4DK6-ASU0-VHH_B-Ag_C_D,reference__4DKF-ASU0-VH_H-VL_L-Ag_A_B,reference__4DKF-ASU0-VH_I-VL_M-Ag_A_B,reference__4KRM-ASU0-VHH_D-Ag_C_E,reference__4KRM-ASU0-VHH_L-Ag_I_K,reference__4MAY-ASU0-VH_D-VL_C-Ag_A_B,reference__4PLK-ASU0-VH_D-VL_C-Ag_A_B,reference__4PLK-ASU0-VH_H-VL_L-Ag_A_B,reference__4XVU-ASU0-VH_I-VL_J-Ag_G_H,reference__4XVU-ASU0-VH_K-VL_L-Ag_G_H,reference__5BOP-ASU0-VHH_A-Ag_B_D,reference__5BOP-ASU0-VHH_C-Ag_B_D,reference__5OCL-ASU0-VHH_G-Ag_F_H,reference__5OVW-ASU0-VHH_G-Ag_A_C,reference__5OVW-ASU0-VHH_J-Ag_B_D,reference__5TD8-ASU0-VHH_E-Ag_A_C,reference__5UDD-ASU0-VH_J-VL_P-Ag_A_E,reference__6BPE-ASU0-VH_B-VL_C-Ag_A_D,reference__6DO1-ASU0-VHH_E-Ag_A_B_C,reference__6GKD-ASU0-VHH_G-Ag_F_T,reference__6GKD-ASU0-VHH_H-Ag_F_I_M,reference__6GKD-ASU0-VHH_T-Ag_F_P_R,reference__6OAO-ASU0-VH_J-VL_J-Ag_I_K,reference__6OL7-ASU0-VH_C-VL_B-Ag_D_E,reference__6OL7-ASU0-VH_K-VL_J-Ag_F_I,reference__6SGE-ASU0-VHH_B-Ag_A_C,reference__6SGE-ASU0-VHH_D-Ag_A_C,reference__6TYL-ASU0-VHH_D-Ag_A_F,reference__6TYL-ASU0-VHH_I-Ag_A_F,reference__6V7Z-ASU0-VHH_F-Ag_A_B_C,reference__6X04-ASU0-VHH_F-Ag_B_E_K,reference__6X04-ASU0-VHH_L-Ag_E_H_K,reference__7E9G-ASU0-VHH_E-Ag_R_S,reference__7EO4-ASU0-VH_E-VL_E-Ag_B_C,reference__7F1O-ASU0-VHH_E-Ag_A_B,reference__7K7H-ASU0-VH_H-VL_L-Ag_A_C,reference__7K7I-ASU0-VH_J-VL_K-Ag_B_E,reference__7K7I-ASU0-VH_M-VL_N-Ag_A_C,reference__7K7I-ASU0-VH_P-VL_Q-Ag_C_D,reference__7KI1-ASU0-VHH_N-Ag_A_B,reference__7KQY-ASU0-VHH_A-Ag_B_D,reference__7LJB-ASU0-VH_E-VL_D-Ag_A_B,reference__7LJB-ASU0-VH_G-VL_F-Ag_A_B,reference__7M7E-ASU0-VH_C-VL_D-Ag_A_B,reference__7M7G-ASU0-VH_C-VL_D-Ag_A_B_E_F,reference__7N0I-ASU0-VHH_J-Ag_C_D,reference__7QHA-ASU0-VHH_C-Ag_A_B,reference__7SAJ-ASU0-VHH_J-Ag_E_I,reference__7T0W-ASU0-VH_G-VL_F-Ag_A_B,reference__7T0Z-ASU0-VH_H-VL_L-Ag_D_E,reference__7WU9-ASU0-VH_S-VL_S-Ag_A_B,reference__8CAF-ASU0-VH_B-VL_A-Ag_F_H,reference__8CAF-ASU0-VH_D-VL_C-Ag_E_G,reference__8DJK-ASU0-VH_H-VL_L-Ag_A_B,reference__8DJM-ASU0-VH_H-VL_L-Ag_A_B,reference__8G2Y-ASU0-VHH_N-Ag_A_B,reference__8H64-ASU0-VHH_D-Ag_C_E,reference__8H64-ASU0-VHH_H-Ag_A_G,reference__8I7W-ASU0-VH_E-VL_E-Ag_B_C,reference__8IM1-ASU0-VHH_H-Ag_C_G,reference__8J7U-ASU0-VH_E-VL_C-Ag_A_B,reference__8J7U-ASU0-VH_F-VL_D-Ag_A_B,reference__8J7V-ASU0-VH_E-VL_C-Ag_A_B,reference__8J7V-ASU0-VH_F-VL_D-Ag_A_B,reference__8J7W-ASU0-VH_E-VL_C-Ag_A_B,reference__8J7W-ASU0-VH_F-VL_D-Ag_A_B,reference__8J80-ASU0-VH_E-VL_C-Ag_A_B,reference__8OQ3-ASU0-VHH_C-Ag_A_D,reference__8PMX-ASU0-VH_H-VL_L-Ag_A_B,reference__8RTF-ASU0-VHH_G-Ag_A_B,reference__8RTF-ASU0-VHH_I-Ag_C_D,reference__8RTF-ASU0-VHH_J-Ag_C_D,reference__8RTF-ASU2-VHH_G-Ag_A_F,reference__8RTF-ASU2-VHH_K-Ag_C_E,reference__8RVR-ASU0-VHH_G-Ag_A_B,reference__8RVR-ASU0-VHH_H-Ag_A_B,reference__8RVR-ASU0-VHH_I-Ag_C_D,reference__8RVR-ASU0-VHH_J-Ag_C_D,reference__8SFZ-ASU0-VHH_B-Ag_D_F,reference__8TEA-ASU0-VH_F-VL_I-Ag_C_D,reference__8TJN-ASU0-VH_C-VL_D-Ag_A_B_E_F,reference__8TJN-ASU0-VH_E-VL_F-Ag_A_B_C_D,reference__8TME-ASU0-VH_H-VL_L-Ag_A_B,reference__8TMH-ASU0-VH_F-VL_G-Ag_A_B,reference__8TMQ-ASU0-VH_H-VL_L-Ag_A_B,reference__8UIO-ASU0-VH_H-VL_L-Ag_A_B,reference__8W5F-ASU0-VH_H-VL_L-Ag_C_c,reference__8Y62-ASU0-VH_E-VL_E-Ag_A_B,reference__8YJ7-ASU0-VH_E-VL_E-Ag_B_C,reference__8ZBI-ASU0-VH_F-VL_F-Ag_B_C,reference__8ZRE-ASU0-VH_h-VL_l-Ag_A_B,reference__9BIF-ASU0-VH_G-VL_I-Ag_E_F,reference__9BIF-ASU0-VH_J-VL_K-Ag_E_F,reference__9C24-ASU0-VH_A-VL_B-Ag_C_D,reference__9C24-ASU0-VH_H-VL_L-Ag_C_D,reference__9E3L-ASU0-VH_G-VL_H-Ag_E_F,reference__9E7L-ASU0-VHH_S-Ag_G_T,reference__9G4E-ASU0-VH_C-VL_D-Ag_A_B,reference__9I5E-ASU0-VHH_N-Ag_A_B,reference__9JKS-ASU0-VH_S-VL_S-Ag_B_C,reference__9MGB-ASU0-VH_k-VL_k-Ag_J_L,reference__9PC6-ASU0-VH_J-VL_I-Ag_A_B_K_L,reference__9PXU-ASU0-VHH_K-Ag_H_L
reference__3LRS-ASU0-VH_E-VL_F-Ag_A_B_C_D,reference_antigen,3LRS-ASU0-VH_E-VL_F-Ag_A_B_C_D,0.00000,0.00000,0.00000,0.40800,0.00000,0.00000,0.00000,0.29070,0.00000,0.51870,0.00000,0.00000,0.33560,0.36430,0.30340,0.32820,0.00000,0.37950,0.00000,0.00000,0.34060,0.00000,0.34530,0.32650,0.31540,0.35310,0.62650,0.00000,0.96400,0.84730,0.53960,0.60310,0.96550,0.50660,0.00000,1.00000,0.33230,0.33230,0.95240,0.59150,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.60240,0.42450,0.42450,0.00000,0.00000,0.00000,0.00000,0.94350,0.00000,0.00000,0.43770,0.40860,0.00000,0.87060,0.91730,0.86990,0.87220,0.00000,0.97520,0.94430,0.00000,0.00000,0.00000,0.00000,0.83680,0.89520,0.90140,0.30960,0.31650,0.32940,0.37580,0.00000,0.00000,0.00000,0.31650,0.78000,0.00000,0.00000,0.00000,0.84970,0.34970,0.00000,0.46500,0.42650,0.42930,0.32880,0.35610,0.00000,0.00000,0.00000,0.34040,0.54240,0.54260,0.33070,0.46520,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.51010,0.38410,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.39960,0.39960,0.60880,0.50000,0.86490,0.86120,0.35270,0.35870,0.42440,0.76710,0.45250,0.31420,0.00000,0.32840,0.00000,0.00000,0.00000,0.00000,0.00000,0.46460,0.92230,0.00000,0.46220,0.36590,0.00000,0.85410,0.82100
reference__3STB-ASU0-VHH_A-Ag_C_D,reference_antigen,3STB-ASU0-VHH_A-Ag_C_D,0.38570,0.00000,0.00000,0.42230,0.00000,0.00000,0.29010,0.40890,0.00000,0.45860,0.41640,0.00000,0.00000,0.43980,0.46030,0.46050,0.81200,0.39510,0.43710,0.00000,0.47360,0.00000,0.41020,0.43360,0.40380,0.39210,0.48300,0.00000,0.34850,0.45360,0.42380,0.34450,0.33210,0.68680,0.00000,0.33230,1.00000,1.00000,0.34490,0.57390,0.93140,0.92530,0.00000,0.00000,0.00000,0.00000,0.34800,0.51940,0.51940,0.00000,0.00000,0.00000,0.00000,0.35130,0.00000,0.00000,0.00000,0.42130,0.00000,0.37960,0.34650,0.33300,0.49670,0.00000,0.35980,0.46730,0.38100,0.38100,0.00000,0.00000,0.44500,0.50760,0.50760,0.50790,0.39430,0.34830,0.66580,0.64910,0.65150,0.65150,0.36480,0.34230,0.00000,0.00000,0.00000,0.29900,0.36330,0.00000,0.41320,0.00000,0.00000,0.35020,0.38770,0.00000,0.00000,0.00000,0.30430,0.62550,0.61730,0.44810,0.41420,0.49540,0.49540,0.40410,0.40410,0.47420,0.47420,0.44010,0.70150,0.52480,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.44970,0.51890,0.00000,0.34360,0.41040,0.40970,0.40340,0.39280,0.38130,0.33810,0.00000,0.43460,0.00000,0.00000,0.00000,0.00000,0.00000,0.73070,0.38590,0.00000,0.36680,0.36330,0.00000,0.36960,0.36970
reference__3STB-ASU0-VHH_B-Ag_C_D,reference_antigen,3STB-ASU0-VHH_B-Ag_C_D,0.38570,0.00000,0.00000,0.42230,0.00000,0.00000,0.29010,0.40890,0.00000,0.45860,0.41640,0.00000,0.00000,0.43980,0.46030,0.46050,0.81200,0.39510,0.43710,0.00000,0.47360,0.00000,0.41020,0.43360,0.40380,0.39210,0.48300,0.00000,0.34850,0.45360,0.42380,0.34450,0.33210,0.68680,0.00000,0.33230,1.00000,1.00000,0.34490,0.57390,0.93140,0.92530,0.00000,0.00000,0.00000,0.00000,0.34800,0.51940,0.51940,0.00000,0.00000,0.00000,0.00000,0.35130,0.00000,0.00000,0.00000,0.42130,0.00000,0.37960,0.34650,0.33300,0.49670,0.00000,0.35980,0.46730,0.38100,0.38100,0.00000,0.00000,0.44500,0.50760,0.50760,0.50790,0.39430,0.34830,0.66580,0.64910,0.65150,0.65150,0.36480,0.34230,0.00000,0.00000,0.00000,0.29900,0.36330,0.00000,0.41320,0.00000,0.00000,0.35020,0.38770,0.00000,0.00000,0.00000,0.30430,0.62550,0.61730,0.44810,0.41420,0.49540,0.49540,0.40410,0.40410,0.47420,0.47420,0.44010,0.70150,0.52480,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.44970,0.51890,0.00000,0.34360,0.41040,0.40970,0.40340,0.39280,0.38130,0.33810,0.00000,0.43460,0.00000,0.00000,0.00000,0.00000,0.00000,0.73070,0.38590,0.00000,0.36680,0.36330,0.00000,0.36960,0.36970
reference__3ZHD-ASU1-VHH_F-Ag_A_B,reference_antigen,3ZHD-ASU1-VHH_F-Ag_A_B,0.00000,0.00000,0.34290,0.46010,0.00000,0.00000,0.00000,0.00000,0.00000,0.49170,0.00000,0.00000,0.52760,0.00000,0.00000,0.37550,0.00000,0.47740,0.36930,0.32230,0.40860,0.33680,0.43480,0.42990,0.35970,0.42730,0.44170,0.00000,0.93870,0.92580,0.57720,0.65300,0.96400,0.74310,0.00000,0.95240,0.34490,0.34490,1.00000,0.65480,0.34710,0.33770,0.00000,0.00000,0.00000,0.00000,0.66260,0.43860,0.43860,0.00000,0.00000,0.00000,0.00000,0.95610,0.00000,0.00000,0.00000,0.00000,0.00000,0.89310,0.94650,0.89090,0.88900,0.00000,0.97230,0.93100,0.00000,0.00000,0.00000,0.00000,0.65800,0.87790,0.88390,0.37670,0.34020,0.33930,0.39910,0.40620,0.43240,0.37520,0.46890,0.94570,0.00000,0.00000,0.00000,0.94760,0.39100,0.00000,0.45990,0.54710,0.53950,0.37960,0.00000,0.00000,0.00000,0.00000,0.39930,0.43170,0.43370,0.46870,0.46270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.74970,0.42670,0.00000,0.41300,0.41300,0.00000,0.00000,0.00000,0.00000,0.40780,0.40780,0.47350,0.00000,0.93570,0.93410,0.43380,0.43960,0.44820,0.93060,0.40090,0.37750,0.00000,0.34850,0.00000,0.00000,0.00000,0.00000,0.00000,0.42210,0.90560,0.00000,0.00000,0.37750,0.00000,0.94640,0.93320
reference__4C56-ASU0-VH_H-VL_G-Ag_E_I_K,reference_antigen,4C56-ASU0-VH_H-VL_G-Ag_E_I_K,0.00000,0.00000,0.00000,0.45660,0.00000,0.00000,0.00000,0.32950,0.39640,0.54860,0.67510,0.00000,0.52890,0.36200,0.32270,0.00000,0.40330,0.00000,0.31110,0.28420,0.33970,0.37370,0.42140,0.45960,0.33590,0.00000,0.60340,0.00000,0.70160,0.59700,0.74760,0.98930,0.65460,0.63800,0.00000,0.59150,0.57390,0.57390,0.65480,1.00000,0.58950,0.56190,0.00000,0.00000,0.00000,0.00000,0.97730,0.48670,0.48670,0.00000,0.00000,0.00000,0.00000,0.70690,0.00000,0.00000,0.00000,0.30310,0.37810,0.64540,0.64930,0.65760,0.65880,0.00000,0.67830,0.67560,0.39190,0.39190,0.00000,0.00000,0.93340,0.69360,0.71940,0.36470,0.35360,0.40960,0.55110,0.51810,0.54230,0.54230,0.34960,0.60320,0.00000,0.00000,0.00000,0.58150,0.30400,0.00000,0.32800,0.48060,0.46590,0.36980,0.67030,0.64410,0.00000,0.00000,0.00000,0.55740,0.52860,0.40900,0.36510,0.36170,0.36170,0.33790,0.33790,0.34810,0.34810,0.36290,0.64650,0.46240,0.36940,0.37070,0.37070,0.36940,0.35860,0.35100,0.35100,0.40560,0.40560,0.30740,0.56360,0.58220,0.58810,0.39620,0.35860,0.40300,0.60830,0.35250,0.37370,0.00000,0.38640,0.00000,0.00000,0.00000,0.00000,0.00000,0.52910,0.64550,0.00000,0.00000,0.35130,0.00000,0.59930,0.62780
reference__4DK3-ASU0-VHH_A-Ag_C_D,reference_antigen,4DK3-ASU0-VHH_A-Ag_C_D,0.45740,0.00000,0.00000,0.39670,0.00000,0.00000,0.44300,0.00000,0.00000,0.41540,0.00000,0.00000,0.44150,0.39490,0.39140,0.37320,0.76500,0.41440,0.43670,0.00000,0.50140,0.34320,0.00000,0.46720,0.51260,0.00000,0.37640,0.00000,0.58370,0.00000,0.39700,0.43820,0.37360,0.57850,0.00000,0.00000,0.93140,0.93140,0.34710,0.58950,1.00000,0.98410,0.00000,0.00000,0.00000,0.00000,0.38180,0.62000,0.62000,0.00000,0.00000,0.00000,0.00000,0.34740,0.00000,0.00000,0.00000,0.00000,0.00000,0.36490,0.34410,0.35260,0.00000,0.00000,0.33260,0.38630,0.00000,0.00000,0.00000,0.00000,0.38900,0.44500,0.44500,0.00000,0.43540,0.49120,0.71480,0.69520,0.69760,0.69760,0.46120,0.00000,0.00000,0.00000,0.00000,0.37500,0.37310,0.00000,0.44120,0.43080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.45980,0.59710,0.41200,0.00000,0.45210,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.59810,0.59590,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.44630,0.53990,0.00000,0.00000,0.46870,0.47940,0.47420,0.00000,0.44310,0.48500,0.00000,0.40080,0.00000,0.00000,0.00000,0.31370,0.31370,0.73240,0.00000,0.00000,0.00000,0.45680,0.00000,0.00000,0.00000
reference__4DK6-ASU0-VHH_B-Ag_C_D,reference_antigen,4DK6-ASU0-VHH_B-Ag_C_D,0.44840,0.00000,0.00000,0.37010,0.00000,0.00000,0.00000,0.00000,0.00000,0.41300,0.00000,0.00000,0.00000,0.40090,0.49390,0.46070,0.75110,0.42800,0.37930,0.42890,0.53180,0.00000,0.45450,0.43380,0.43460,0.00000,0.34120,0.00000,0.38030,0.00000,0.38630,0.38600,0.34780,0.71830,0.00000,0.00000,0.92530,0.92530,0.33770,0.56190,0.98410,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.63690,0.63690,0.00000,0.00000,0.36170,0.36170,0.35200,0.00000,0.00000,0.00000,0.42140,0.00000,0.33350,0.37460,0.32510,0.00000,0.00000,0.35220,0.39830,0.44500,0.44500,0.00000,0.00000,0.37780,0.62990,0.62990,0.00000,0.41250,0.40050,0.71330,0.69660,0.69830,0.69830,0.41000,0.00000,0.00000,0.00000,0.00000,0.35670,0.00000,0.00000,0.49600,0.46580,0.00000,0.41350,0.00000,0.29360,0.00000,0.00000,0.43920,0.39860,0.35860,0.40210,0.49570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.40910,0.54780,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.44540,0.48780,0.00000,0.00000,0.46540,0.47230,0.47370,0.00000,0.45290,0.43640,0.00000,0.40270,0.00000,0.34970,0.34970,0.00000,0.00000,0.71600,0.31940,0.00000,0.38720,0.41650,0.00000,0.00000,0.00000
reference__4DKF-ASU0-VH_H-VL_L-Ag_A_B,reference_antigen,4DKF-ASU0-VH_H-VL_L-Ag_A_B,0.00000,0.00000,0.35970,0.00000,0.00000,0.00000,0.51720,0.39250,0.00000,0.00000,0.47830,0.38750,0.00000,0.48310,0.00000,0.00000,0.00000,0.00000,0.00000,0.44910,0.00000,0.32360,0.59330,0.00000,0.48740,0.50310,0.38340,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.43820,0.43820,0.31180,0.31180,0.00000,0.00000,0.45250,0.00000,0.39470,0.53140,0.55920,0.47740,0.47740,0.47740,0.45340,0.00000,0.00000,0.00000,0.00000,0.42050,0.42050,0.00000,0.00000,0.00000,0.58360,0.00000,0.33430,0.00000,0.00000,0.00000,0.00000,0.48120,0.00000,0.49210,0.49210,0.37680,0.00000,0.00000,0.51240,0.00000,0.56670,0.58400,0.00000,0.00000,0.54550,0.52020,0.49780,0.33260,0.00000,0.00000,0.00000,0.00000,0.59830,0.59830,0.60780,0.60780,0.63530,0.63530,0.60830,0.00000,0.00000,0.00000,0.40500,0.40500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.38720,0.38720,0.50580,0.59390,0.50390,0.00000,0.00000,0.00000,0.00000,0.00000,0.56630,0.50270,0.50270,0.50230,0.50230,0.00000,0.44850,0.38720,0.00000,0.00000,0.49770,0.36590,0.00000
reference__4DKF-ASU0-VH_I-VL_M-Ag_A_B,reference_antigen,4DKF-ASU0-VH_I-VL_M-Ag_A_B,0.00000,0.00000,0.35970,0.00000,0.00000,0.00000,0.51720,0.39250,0.00000,0.00000,0.47830,0.38750,0.00000,0.48310,0.00000,0.00000,0.00000,0.00000,0.00000,0.44910,0.00000,0.32360,0.59330,0.00000,0.48740,0.50310,0.38340,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.43820,0.43820,0.31180,0.31180,0.00000,0.00000,0.45250,0.00000,0.39470,0.53140,0.55920,0.47740,0.47740,0.47740,0.45340,0.00000,0.00000,0.00000,0.00000,0.42050,0.42050,0.00000,0.00000,0.00000,0.58360,0.00000,0.33430,0.00000,0.00000,0.00000,0.00000,0.48120,0.00000,0.49210,0.49210,0.37680,0.00000,0.00000,0.51240,0.00000,0.56670,0.58400,0.00000,0.00000,0.54550,0.52020,0.49780,0.33260,0.00000,0.00000,0.00000,0.00000,0.59830,0.59830,0.60780,0.60780,0.63530,0.63530,0.60830,0.00000,0.00000,0.00000,0.40500,0.40500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.38720,0.38720,0.50580,0.59390,0.50390,0.00000,0.00000,0.00000,0.00000,0.00000,0.56630,0.50270,0.50270,0.50230,0.50230,0.00000,0.44850,0.38720,0.00000,0.00000,0.49770,0.36590,0.00000
reference__4KRM-ASU0-VHH_D-Ag_C_E,reference_antigen,4KRM-ASU0-VHH_D-Ag_C_E,0.41430,0.00000,0.00000,0.00000,0.37580,0.00000,0.00000,0.00000,0.32660,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.35060,0.35570,0.00000,0.00000,0.28650,0.44140,0.00000,0.58740,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.78630,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.39690,0.39690,0.00000,0.00000,0.00000,0.00000,0.32040,0.36330,0.00000,0.00000,0.00000,0.00000,0.39960,0.00000,0.00000,0.00000,0.00000,0.42420,0.42420,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.34620,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.37540,0.41280,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.39760,0.64940,0.59090,0.36630,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.41480,0.35810,0.35810,0.36620,0.43960,0.41770,0.41770,0.42220,0.42220,0.00000,0.00000,0.32500,0.32500,0.00000,0.00000,0.00000,0.00000,0.00000,0.31890,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.36850,0.32880,0.00000,0.39250,0.00000
reference__4KRM-ASU0-VHH_L-Ag_I_K,reference_antigen,4KRM-ASU0-VHH_L-Ag_I_K,0.42190,0.35590,0.00000,0.00000,0.41350,0.00000,0.00000,0.00000,0.35720,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.34880,0.39890,0.00000,0.00000,0.29580,0.44430,0.00000,0.58030,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.78530,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.45280,0.45280,0.40650,0.40650,0.00000,0.00000,0.30770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.42010,0.42010,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.41250,0.00000,0.00000,0.00000,0.00000,0.00000,0.33310,0.00000,0.41940,0.00000,0.00000,0.39870,0.61260,0.61270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.44160,0.44150,0.44150,0.44160,0.41010,0.43740,0.43740,0.44110,0.44110,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.30700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.36220,0.00000,0.00000,0.42540,0.00000
reference__4MAY-ASU0-VH_D-VL_C-Ag_A_B,reference_antigen,4MAY-ASU0-VH_D-VL_C-Ag_A_B,0.00000,0.00000,0.00000,0.45530,0.00000,0.00000,0.37040,0.24150,0.33380,0.53860,0.00000,0.00000,0.00000,0.00000,0.34990,0.00000,0.36330,0.00000,0.29580,0.00000,0.33930,0.38900,0.43190,0.50090,0.00000,0.00000,0.57800,0.00000,0.69910,0.59400,0.74940,0.98200,0.69360,0.63430,0.00000,0.60240,0.34800,0.34800,0.66260,0.97730,0.38180,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.41990,0.41990,0.00000,0.00000,0.00000,0.00000,0.69330,0.00000,0.37890,0.00000,0.00000,0.00000,0.74120,0.65400,0.43850,0.66520,0.31540,0.66690,0.67300,0.34340,0.34340,0.00000,0.00000,0.94640,0.50730,0.65370,0.00000,0.30880,0.30590,0.50420,0.50260,0.50060,0.50060,0.33330,0.60280,0.00000,0.00000,0.00000,0.58540,0.35620,0.00000,0.47550,0.46590,0.45830,0.33760,0.48240,0.00000,0.00000,0.00000,0.00000,0.47770,0.35280,0.38480,0.46700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.63350,0.34290,0.42280,0.40760,0.40760,0.42280,0.40760,0.37150,0.37150,0.42170,0.42170,0.47360,0.46820,0.59450,0.58090,0.37370,0.34730,0.33970,0.60030,0.00000,0.37700,0.00000,0.37140,0.00000,0.00000,0.00000,0.00000,0.00000,0.43430,0.64910,0.00000,0.00000,0.44010,0.00000,0.59310,0.62290
reference__4PLK-ASU0-VH_D-VL_C-Ag_A_B,reference_antigen,4PLK-ASU0-VH_D-VL_C-Ag_A_B,0.00000,0.00000,0.00000,0.33950,0.00000,0.36850,0.00000,0.00000,0.00000,0.50100,0.00000,0.00000,0.00000,0.42020,0.41470,0.39160,0.48980,0.33230,0.00000,0.00000,0.36220,0.35360,0.40540,0.35080,0.36990,0.00000,0.00000,0.00000,0.46870,0.41170,0.37750,0.47890,0.42480,0.45930,0.00000,0.42450,0.51940,0.51940,0.43860,0.48670,0.62000,0.63690,0.00000,0.00000,0.00000,0.00000,0.41990,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.44000,0.00000,0.00000,0.00000,0.00000,0.00000,0.35330,0.41710,0.40750,0.34890,0.00000,0.43730,0.43570,0.00000,0.00000,0.00000,0.00000,0.47440,0.40310,0.40310,0.36890,0.34250,0.35200,0.37370,0.38100,0.45510,0.45510,0.43510,0.36000,0.00000,0.00000,0.00000,0.42170,0.00000,0.00000,0.40630,0.43060,0.43490,0.35260,0.00000,0.41920,0.00000,0.00000,0.39290,0.00000,0.00000,0.35280,0.36930,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.95910,0.33020,0.34510,0.34510,0.33020,0.34360,0.33570,0.33570,0.34730,0.34730,0.35950,0.38960,0.40310,0.40530,0.39010,0.39470,0.39150,0.42370,0.00000,0.35950,0.00000,0.36150,0.00000,0.00000,0.00000,0.00000,0.00000,0.49300,0.42040,0.00000,0.00000,0.35750,0.00000,0.42360,0.36260
