Yeast_ORF,Human_ENSP,Human_Entrez,Human_Symbol,Human_GeneDescription,Final CompStatus,Final ToxStatus,Tet-down CompStatus,TS CompStatus,MM CompStatus,Tetrad CompStatus,Assay CompStatus,Lit CompStatus,Literature PMID,resolved_ensembl_gene_id,mapping_status,opentargets_status,ot_n_associated_diseases_total,ot_top_diseases,ot_top_datatypes,ot_top_datasources,disease_relevance_paragraph,opentargets_target_url,mapping_source_url,subcellular_localisation,opentargets_query_ok,notes
YCL059C,ENSP00000229214,11103,KRR1,"KRR1, small subunit (SSU) processome component, homolog (yeast)",Complement,,,Complement,Non complement,,Complement,,,ENSG00000111615,OK,OK,305.0,neurodegenerative disease (0.492); polycystic ovary syndrome (0.332); pyelonephritis (0.193),genetic_association (0.860); affected_pathway (0.807),gwas_credible_sets (0.860); crispr_screen (0.807),KRR1 shows the strongest Open Targets disease associations with neurodegenerative disease (score 0.492) and polycystic ovary syndrome (score 0.332). Evidence is driven primarily by genetic_association and affected_pathway. Top contributing sources include gwas_credible_sets and crispr_screen.,https://platform.opentargets.org/target/ENSG00000111615,https://mygene.info/v3/gene/11103,nucleus; nucleoplasm; nucleolus; cytoplasm; membrane,True,
YDL007W,ENSP00000261303,5700,PSMC1,"proteasome (prosome, macropain) 26S subunit, ATPase, 1",Complement,Toxic,,Complement,Non complement,Non complement,Complement,,,ENSG00000100764,OK,OK,105.0,"neurodegenerative disease (0.472); HIV infection (0.462); neurodevelopmental disorder with poor growth, spastic tetraplegia, and hearing loss (0.399)",affected_pathway (1.534); genetic_association (0.499),crispr_screen (0.774); reactome (0.760),PSMC1 shows the strongest Open Targets disease associations with neurodegenerative disease (score 0.472) and HIV infection (score 0.462). Evidence is driven primarily by affected_pathway and genetic_association. Top contributing sources include crispr_screen and reactome.,https://platform.opentargets.org/target/ENSG00000100764,https://mygene.info/v3/gene/5700,proteasome complex; nucleus; nucleoplasm; cytoplasm; cytosol,True,
YDL064W,ENSP00000384361,7329,UBE2I,ubiquitin-conjugating enzyme E2I,Complement,,,Complement,Complement,,Complement,Complement,8668125,ENSG00000103275,OK,OK,359.0,neurodegenerative disease (0.471); severe acute respiratory syndrome (0.462); COVID-19 (0.371),affected_pathway (2.140); literature (0.083),reactome (1.368); crispr_screen (0.772),UBE2I shows the strongest Open Targets disease associations with neurodegenerative disease (score 0.471) and severe acute respiratory syndrome (score 0.462). Evidence is driven primarily by affected_pathway and literature. Top contributing sources include reactome and crispr_screen.,https://platform.opentargets.org/target/ENSG00000103275,https://mygene.info/v3/gene/7329,synaptonemal complex; nucleus; nuclear envelope; nuclear pore; nucleoplasm,True,
YDL126C,ENSP00000351777,7415,VCP,valosin containing protein,Complement,,Non complement,Complement,,,Complement,,,ENSG00000165280,OK,OK,662.0,inclusion body myopathy with Paget disease of bone and frontotemporal dementia type 1 (0.803); frontotemporal dementia and/or amyotrophic lateral sclerosis 6 (0.767); inclusion body myopathy with Paget disease of bone and frontotemporal dementia (0.707),genetic_association (2.718); genetic_literature (2.221),eva (2.752); uniprot_variants (1.824),VCP shows the strongest Open Targets disease associations with inclusion body myopathy with Paget disease of bone and frontotemporal dementia type 1 (score 0.803) and frontotemporal dementia and/or amyotrophic lateral sclerosis 6 (score 0.767). Evidence is driven primarily by genetic_association and genetic_literature. Top contributing sources include eva and uniprot_variants.,https://platform.opentargets.org/target/ENSG00000165280,https://mygene.info/v3/gene/7415,cytoplasmic ubiquitin ligase complex; proteasome complex; extracellular region; nucleus; nucleoplasm,True,
YDL141W,ENSP00000338387,3141,HLCS,holocarboxylase synthetase (biotin-(proprionyl-CoA-carboxylase (ATP-hydrolysing)) ligase),Complement,,,,Complement,,Complement,,,ENSG00000159267,OK,OK,138.0,holocarboxylase synthetase deficiency (0.856); vitamin metabolic disorder (0.526); genetic disorder (0.470),genetic_association (1.712); affected_pathway (0.865),eva (1.719); uniprot_variants (0.974),HLCS shows the strongest Open Targets disease associations with holocarboxylase synthetase deficiency (score 0.856) and vitamin metabolic disorder (score 0.526). Evidence is driven primarily by genetic_association and affected_pathway. Top contributing sources include eva and uniprot_variants.,https://platform.opentargets.org/target/ENSG00000159267,https://mygene.info/v3/gene/3141,chromatin; nuclear lamina; cytoplasm; mitochondrion; cytosol,True,
YDL147W,ENSP00000348442,5718,PSMD12,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 12",Complement,,Non complement,Complement,Complement,Complement,Complement,Complement,12559573,ENSG00000197170,OK,OK,254.0,Stankiewicz-Isidor syndrome (0.728); genetic disorder (0.467); HIV infection (0.463),genetic_association (1.669); affected_pathway (0.760),eva (1.669); genomics_england (0.760),PSMD12 shows the strongest Open Targets disease associations with Stankiewicz-Isidor syndrome (score 0.728) and genetic disorder (score 0.467). Evidence is driven primarily by genetic_association and affected_pathway. Top contributing sources include eva and genomics_england.,https://platform.opentargets.org/target/ENSG00000197170,https://mygene.info/v3/gene/5718,proteasome complex; extracellular region; nucleoplasm; cytoplasm; cytosol,True,
YDL150W,ENSP00000303088,661,POLR3D,"polymerase (RNA) III (DNA directed) polypeptide D, 44kDa",Complement,,Complement,,Non complement,,Complement,,,ENSG00000168495,OK,OK,24.0,Abruptio Placentae (0.124); Thrombocytopenia (0.050); autosomal dominant macrothrombocytopenia (0.047),animal_model (0.794); genetic_association (0.204),impc (0.794); gwas_credible_sets (0.204),POLR3D shows the strongest Open Targets disease associations with Abruptio Placentae (score 0.124) and Thrombocytopenia (score 0.050). Evidence is driven primarily by animal_model and genetic_association. Top contributing sources include impc and gwas_credible_sets.,https://platform.opentargets.org/target/ENSG00000168495,https://mygene.info/v3/gene/661,DNA-directed RNA polymerase complex; nucleus; nucleoplasm; RNA polymerase III complex; cytosol,True,
YDL164C,ENSP00000263274,3978,LIG1,"ligase I, DNA, ATP-dependent",Complement,,,Complement,,,Complement,Complement ,8248134,ENSG00000105486,OK,OK,235.0,immunodeficiency 96 (0.689); HIV infection (0.370); neurodegenerative disease (0.245),affected_pathway (1.008); genetic_association (0.822),uniprot_variants (0.827); eva (0.801),LIG1 shows the strongest Open Targets disease associations with immunodeficiency 96 (score 0.689) and HIV infection (score 0.370). Evidence is driven primarily by affected_pathway and genetic_association. Top contributing sources include uniprot_variants and eva.,https://platform.opentargets.org/target/ENSG00000105486,https://mygene.info/v3/gene/3978,nucleus; nucleoplasm,True,
YDL166C,ENSP00000370193,6880,TAF9,"TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa",Complement,,Complement,,Complement,,Complement,,,ENSG00000273841,OK,OK,62.0,HIV infection (0.578); neurodegenerative disease (0.194); thyroiditis (0.095),affected_pathway (1.270); genetic_association (0.156),reactome (0.951); crispr_screen (0.319),TAF9 shows the strongest Open Targets disease associations with HIV infection (score 0.578) and neurodegenerative disease (score 0.194). Evidence is driven primarily by affected_pathway and genetic_association. Top contributing sources include reactome and crispr_screen.,https://platform.opentargets.org/target/ENSG00000273841,https://mygene.info/v3/gene/6880,SAGA complex; nucleus; nucleoplasm; transcription factor TFIID complex; transcription factor TFTC complex,True,
YDL205C,ENSP00000278715,3145,HMBS,hydroxymethylbilane synthase,Complement,,,,Complement,Complement,Complement,,,ENSG00000256269,OK,OK,263.0,"acute intermittent porphyria (0.861); encephalopathy, porphyria-related (0.772); leukoencephalopathy, porphyria-related (0.763)",genetic_association (2.610); genetic_literature (2.590),genomics_england (2.810); uniprot_variants (2.647),"HMBS shows the strongest Open Targets disease associations with acute intermittent porphyria (score 0.861) and encephalopathy, porphyria-related (score 0.772). Evidence is driven primarily by genetic_association and genetic_literature. Top contributing sources include genomics_england and uniprot_variants.",https://platform.opentargets.org/target/ENSG00000256269,https://mygene.info/v3/gene/3145,cytoplasm; cytosol,True,
YDL208W,ENSP00000274606,55651,NHP2,NHP2 ribonucleoprotein,Complement,,Non complement,,Complement,Complement,Complement,Complement,11074001,ENSG00000145912,OK,OK,75.0,dyskeratosis congenita (0.754); Hoyeraal-Hreidarsson syndrome (0.462); minimally differentiated acute myeloblastic leukemia (0.462),genetic_literature (2.276); genetic_association (0.763),genomics_england (2.472); eva (0.802),NHP2 shows the strongest Open Targets disease associations with dyskeratosis congenita (score 0.754) and Hoyeraal-Hreidarsson syndrome (score 0.462). Evidence is driven primarily by genetic_literature and genetic_association. Top contributing sources include genomics_england and eva.,https://platform.opentargets.org/target/ENSG00000145912,https://mygene.info/v3/gene/55651,"chromosome, telomeric region; nucleoplasm; telomerase holoenzyme complex; nucleolus; sno(s)RNA-containing ribonucleoprotein complex",True,
YDL217C,ENSP00000320236,29928,TIMM22,translocase of inner mitochondrial membrane 22 homolog (yeast),Complement,,,Complement,,,Complement,,,ENSG00000177370,OK,OK,40.0,combined oxidative phosphorylation deficiency 43 (0.499); crush injury (0.083); attention deficit hyperactivity disorder (0.068),genetic_association (0.732); genetic_literature (0.608),uniprot_literature (0.608); uniprot_variants (0.608),TIMM22 shows the strongest Open Targets disease associations with combined oxidative phosphorylation deficiency 43 (score 0.499) and crush injury (score 0.083). Evidence is driven primarily by genetic_association and genetic_literature. Top contributing sources include uniprot_literature and uniprot_variants.,https://platform.opentargets.org/target/ENSG00000177370,https://mygene.info/v3/gene/29928,mitochondrion; mitochondrial inner membrane; TIM22 mitochondrial import inner membrane insertion complex,True,
YDR021W,ENSP00000269349,9775,EIF4A3,eukaryotic translation initiation factor 4A3,Complement,,,Complement,Complement,Complement,Complement,,,ENSG00000141543,OK,OK,136.0,Richieri Costa-Pereira syndrome (0.774); Intellectual disability (0.370); clubfoot (0.370),genetic_literature (2.067); genetic_association (0.708),genomics_england (2.155); eva (0.745),EIF4A3 shows the strongest Open Targets disease associations with Richieri Costa-Pereira syndrome (score 0.774) and Intellectual disability (score 0.370). Evidence is driven primarily by genetic_literature and genetic_association. Top contributing sources include genomics_england and eva.,https://platform.opentargets.org/target/ENSG00000141543,https://mygene.info/v3/gene/9775,nucleus; nucleoplasm; spliceosomal complex; nucleolus; cytoplasm,True,
YDR023W,ENSP00000358939,6301,SARS,seryl-tRNA synthetase,Complement,,Non complement,,Complement,Complement,Complement,,,ENSG00000031698,OK,OK,107.0,"neurodevelopmental disorder with microcephaly, ataxia, and seizures (0.665); autosomal recessive non-syndromic intellectual disability (0.370); autosomal recessive primary microcephaly (0.370)",genetic_association (2.010); genetic_literature (0.503),orphanet (1.216); uniprot_variants (0.865),"SARS shows the strongest Open Targets disease associations with neurodevelopmental disorder with microcephaly, ataxia, and seizures (score 0.665) and autosomal recessive non-syndromic intellectual disability (score 0.370). Evidence is driven primarily by genetic_association and genetic_literature. Top contributing sources include orphanet and uniprot_variants.",https://platform.opentargets.org/target/ENSG00000031698,https://mygene.info/v3/gene/6301,nucleus; cytoplasm; cytosol; tRNA methyltransferase complex; extracellular exosome,True,
YDR037W,ENSP00000325448,3735,KARS,lysyl-tRNA synthetase,Complement,,,,Complement,Complement,Complement,,,ENSG00000065427,OK,OK,199.0,"leukoencephalopathy, progressive, infantile-onset, with or without deafness (0.749); deafness, congenital, and adult-onset progressive leukoencephalopathy (0.712); autosomal recessive nonsyndromic hearing loss 89 (0.682)",genetic_association (2.627); genetic_literature (1.703),uniprot_variants (2.573); eva (2.531),"KARS shows the strongest Open Targets disease associations with leukoencephalopathy, progressive, infantile-onset, with or without deafness (score 0.749) and deafness, congenital, and adult-onset progressive leukoencephalopathy (score 0.712). Evidence is driven primarily by genetic_association and genetic_literature. Top contributing sources include uniprot_variants and eva.",https://platform.opentargets.org/target/ENSG00000065427,https://mygene.info/v3/gene/3735,extracellular region; extracellular space; nucleus; nucleoplasm; cytoplasm,True,
YDR044W,ENSP00000264193,1371,CPOX,coproporphyrinogen oxidase,Complement,,,,Complement,,Complement,,,ENSG00000080819,OK,OK,1170.0,hereditary coproporphyria (0.829); harderoporphyria (0.774); neurodegenerative disease (0.529),genetic_literature (1.753); genetic_association (1.689),genomics_england (1.887); uniprot_variants (1.721),CPOX shows the strongest Open Targets disease associations with hereditary coproporphyria (score 0.829) and harderoporphyria (score 0.774). Evidence is driven primarily by genetic_literature and genetic_association. Top contributing sources include genomics_england and uniprot_variants.,https://platform.opentargets.org/target/ENSG00000080819,https://mygene.info/v3/gene/1371,cytoplasm; mitochondrion; mitochondrial inner membrane; mitochondrial intermembrane space; membrane,True,
YDR045C,ENSP00000293860,51728,POLR3K,"polymerase (RNA) III (DNA directed) polypeptide K, 12.3 kDa",Complement,,Complement,,Non complement,,Complement,Complement,9869639,ENSG00000161980,OK,OK,44.0,"leukodystrophy, hypomyelinating, 21 (0.513); ventricular fibrillation (0.042); postinflammatory pulmonary fibrosis (0.031)",genetic_association (0.850); genetic_literature (0.364),eva (0.730); genomics_england (0.453),"POLR3K shows the strongest Open Targets disease associations with leukodystrophy, hypomyelinating, 21 (score 0.513) and ventricular fibrillation (score 0.042). Evidence is driven primarily by genetic_association and genetic_literature. Top contributing sources include eva and genomics_england.",https://platform.opentargets.org/target/ENSG00000161980,https://mygene.info/v3/gene/51728,DNA-directed RNA polymerase complex; nucleus; nucleoplasm; RNA polymerase III complex; cytosol,True,
YDR050C,ENSP00000229270,7167,TPI1,triosephosphate isomerase 1,Complement,,Complement,Non complement,Complement,Complement,Complement,,,ENSG00000111669,OK,OK,582.0,triosephosphate isomerase deficiency (0.787); Triose phosphate-isomerase deficiency (0.595); neurodegenerative disease (0.372),genetic_literature (1.611); genetic_association (1.495),genomics_england (1.655); orphanet (1.216),TPI1 shows the strongest Open Targets disease associations with triosephosphate isomerase deficiency (score 0.787) and Triose phosphate-isomerase deficiency (score 0.595). Evidence is driven primarily by genetic_literature and genetic_association. Top contributing sources include genomics_england and orphanet.,https://platform.opentargets.org/target/ENSG00000111669,https://mygene.info/v3/gene/7167,extracellular space; nucleus; cytoplasm; cytosol; extracellular exosome,True,
YDR060W,ENSP00000234170,1649,DDIT3,DNA-damage-inducible transcript 3,Complement,Toxic,Non complement,Complement,Non complement,,Complement,,,ENSG00000175197,OK,OK,808.0,liposarcoma (0.391); lipoma (0.374); well-differentiated liposarcoma (0.371),somatic_mutation (1.824); literature (0.882),cancer_gene_census (1.824); europepmc (0.882),DDIT3 shows the strongest Open Targets disease associations with liposarcoma (score 0.391) and lipoma (score 0.374). Evidence is driven primarily by somatic_mutation and literature. Top contributing sources include cancer_gene_census and europepmc.,https://platform.opentargets.org/target/ENSG00000175197,https://mygene.info/v3/gene/1649,chromatin; nucleus; nucleoplasm; transcription regulator complex; cytoplasm,True,
YDR064W,ENSP00000435777,6207,RPS13,ribosomal protein S13,Complement,,,,Complement,,Complement,,,ENSG00000110700,OK,OK,71.0,Duchenne muscular dystrophy (0.503); influenza (0.462); cystic fibrosis (0.380),known_drug (1.453); affected_pathway (0.760),chembl (1.453); reactome (0.760),RPS13 shows the strongest Open Targets disease associations with Duchenne muscular dystrophy (score 0.503) and influenza (score 0.462). Evidence is driven primarily by known_drug and affected_pathway. Top contributing sources include chembl and reactome.,https://platform.opentargets.org/target/ENSG00000110700,https://mygene.info/v3/gene/6207,nucleus; nucleoplasm; nucleolus; cytoplasm; cytosol,True,
YDR086C,ENSP00000378906,23480,SEC61G,Sec61 gamma subunit,Complement,,,,Complement,Complement,Complement,,,ENSG00000132432,OK,OK,87.0,multiple sclerosis (0.384); poisoning (0.301); respiratory tract infectious disorder (0.301),genetic_association (1.622),gwas_credible_sets (1.622),SEC61G shows the strongest Open Targets disease associations with multiple sclerosis (score 0.384) and poisoning (score 0.301). Evidence is driven primarily by genetic_association. Top contributing sources include gwas_credible_sets.,https://platform.opentargets.org/target/ENSG00000132432,https://mygene.info/v3/gene/23480,Sec61 translocon complex; endoplasmic reticulum membrane; cytosol; membrane; Ssh1 translocon complex,True,
YDR088C,ENSP00000297151,10569,SLU7,SLU7 splicing factor homolog (S. cerevisiae),Complement,Toxic,,Complement,,,Complement,,,ENSG00000164609,OK,OK,235.0,systemic lupus erythematosus (0.207); alcohol drinking (0.201); Vitiligo (0.199),genetic_association (0.999),gwas_credible_sets (0.999),SLU7 shows the strongest Open Targets disease associations with systemic lupus erythematosus (score 0.207) and alcohol drinking (score 0.201). Evidence is driven primarily by genetic_association. Top contributing sources include gwas_credible_sets.,https://platform.opentargets.org/target/ENSG00000164609,https://mygene.info/v3/gene/10569,nucleus; nucleoplasm; spliceosomal complex; cytoplasm; membrane,True,
YDR177W,ENSP00000261427,3093,UBE2K,ubiquitin-conjugating enzyme E2K,Complement,,,,Complement,,Complement,,,ENSG00000078140,OK,OK,155.0,circadian rhythm sleep disorder (0.301); ovarian dysfunction (0.301); neutropenia (0.300),genetic_association (1.484),gwas_credible_sets (1.484),UBE2K shows the strongest Open Targets disease associations with circadian rhythm sleep disorder (score 0.301) and ovarian dysfunction (score 0.301). Evidence is driven primarily by genetic_association. Top contributing sources include gwas_credible_sets.,https://platform.opentargets.org/target/ENSG00000078140,https://mygene.info/v3/gene/3093,nucleus; cytoplasm; cytosol; filopodium tip,True,
YDR196C,ENSP00000413483,79877,DCAKD,dephospho-CoA kinase domain containing,Complement,,,,Complement,,Complement,,,ENSG00000172992,OK,OK,37.0,hypertension (0.229); Increased blood pressure (0.139); insomnia (0.124),genetic_association (0.810),gwas_credible_sets (0.810),DCAKD shows the strongest Open Targets disease associations with hypertension (score 0.229) and Increased blood pressure (score 0.139). Evidence is driven primarily by genetic_association. Top contributing sources include gwas_credible_sets.,https://platform.opentargets.org/target/ENSG00000172992,https://mygene.info/v3/gene/79877,cytoplasm; mitochondrial outer membrane; membrane,True,
YDR236C,ENSP00000365926,55312,RFK,riboflavin kinase,Complement,,,,Complement,Complement,Complement,,,ENSG00000135002,OK,OK,65.0,neurodegenerative disease (0.459); Abnormality of the skeletal system (0.118); alcohol drinking (0.112),affected_pathway (0.755); genetic_association (0.378),crispr_screen (0.755); gwas_credible_sets (0.378),RFK shows the strongest Open Targets disease associations with neurodegenerative disease (score 0.459) and Abnormality of the skeletal system (score 0.118). Evidence is driven primarily by affected_pathway and genetic_association. Top contributing sources include crispr_screen and gwas_credible_sets.,https://platform.opentargets.org/target/ENSG00000135002,https://mygene.info/v3/gene/55312,cytoplasm; mitochondrion; cytosol,True,
YDR267C,ENSP00000418287,9391,CIAO1,cytosolic iron-sulfur assembly component 1,Complement,,,,Complement,,Complement,Complement,17937914,ENSG00000144021,OK,OK,35.0,multiple mitochondrial dysfunctions syndrome 10 (0.474); neuromuscular disease (0.296); Abnormality of the skeletal system (0.171),genetic_association (1.546); genetic_literature (0.006),eva (1.265); gwas_credible_sets (0.281),CIAO1 shows the strongest Open Targets disease associations with multiple mitochondrial dysfunctions syndrome 10 (score 0.474) and neuromuscular disease (score 0.296). Evidence is driven primarily by genetic_association and genetic_literature. Top contributing sources include eva and gwas_credible_sets.,https://platform.opentargets.org/target/ENSG00000144021,https://mygene.info/v3/gene/9391,cytoplasm; MMXD complex; cytosolic [4Fe-4S] assembly targeting complex,True,
YDR280W,ENSP00000368984,5393,EXOSC9,exosome component 9,Complement,,Complement,,Complement,,Complement,,,ENSG00000123737,OK,OK,186.0,"pontocerebellar hypoplasia type 1 (0.661); neurodegenerative disease (0.511); pontocerebellar hypoplasia, type 1D (0.510)",genetic_literature (1.353); affected_pathway (0.839),genomics_england (1.368); eva (0.848),EXOSC9 shows the strongest Open Targets disease associations with pontocerebellar hypoplasia type 1 (score 0.661) and neurodegenerative disease (score 0.511). Evidence is driven primarily by genetic_literature and affected_pathway. Top contributing sources include genomics_england and eva.,https://platform.opentargets.org/target/ENSG00000123737,https://mygene.info/v3/gene/5393,nuclear exosome (RNase complex); cytoplasmic exosome (RNase complex); exosome (RNase complex); nuclear chromosome; nucleus,True,
